id,region,year,text,sentiment,dimensions
44,Australia,2025-04,"Benefits, supportive peers, growth opportunities",positive,Belonging
45,American,2025-03,Salary is nice and it’s a good work environment,positive,Recognition
46,Canada,2025-04,Office location Work from home,positive,Collaboration
47,American,2025-04,- Fantastic benefits with generous pay - Living conditions at camp are variable but usually good - Plenty of opportunity for both upwards and sideways career mobility,positive,Belonging
48,American,2025-03,Work life balance is great,positive,Collaboration
49,Australia,2025-03,"Great pay, bonus and benefits.",positive,Recognition
50,American,2025-03,Meeting the company and leadership hiring target DEI criteria will set you on a road to success with this company.,positive,Belonging
51,Canada,2025-03,"good package, good salary. Teams are nice (depend on your boss)",positive,Belonging|Collaboration
52,Singapore,2025-03,"Hybrid work, flexibility, generally good people",positive,Collaboration
53,Australia,2025-03,Good work life balance and,positive,Collaboration
54,Australia,2025-03,Plenty of opportunities if you’re keen and show your worth,positive,Belonging
55,American,2025-03,"Drive your own development Benefits beyond remuneration (health insurance, stock matching, etc) Diverse work fronts and locations Work flexibility high",positive,Innovation
56,Canada,2025-03,Work for Rio if you can during your career,positive,Collaboration
57,Singapore,2025-03,great benefits with great social events,positive,Belonging
58,Singapore,2025-03,Benefit and WFH culture is good,positive,Belonging
59,Canada,2025-02,Good work life balance Attentive leadership,positive,Belonging
60,Singapore,2025-02,"Great people, willing to teach, good medical/dental/overall benefits, family-friendly environment",positive,Belonging
61,Australia,2025-02,excellent work culture! great learning opportunities,positive,Collaboration|Belonging
62,American,2025-02,Good culture and relatively high salary,positive,Recognition
63,American,2025-02,Smart people around. Good project and great team members. Very supportive environment,positive,Belonging|Collaboration
64,Australia,2025-01,"Competitive baseline package and benefits, some teams get exciting work",positive,Belonging
65,American,2025-02,"Rio really look after you. From health insurance, lots of benefits, lots of sick leave, good work environments, great leave and good pay. Great company to work for.",positive,Respect|Belonging
66,American,2025-02,Good perks Reasonable salary Equipment is half decent,positive,Belonging
67,American,2025-02,Great benefits Generally good people,positive,Belonging
68,United Kingdom,2025-01,Stable company with relatively good pension (16% fully paid by the company) and some other perks,positive,Inclusion
69,American,2025-01,Treat you like an adult. Looked after me when I got sick. Really great team environment. Flexible working arrangements.,positive,Respect|Inclusion|Collaboration
70,Australia,2025-01,Great coworkers Benefits AHS systems are the future Meet some awesome people Chilled site - not too many ego people around,positive,Belonging
71,Australia,2025-01,"Good culture, nice work, nice people",positive,Belonging
72,Canada,2025-01,Very good salary and perks,positive,Recognition
73,Singapore,2025-01,Great work life balance and caring environment.,positive,Belonging
74,Canada,2025-01,Great culture and people in general,positive,Belonging
75,American,2025-01,Good salary Good benefits Supportive team and leadership Flexibility,positive,Collaboration
76,Australia,2025-01,"Salary (Base + 30% + travel allowance (~$15k) + 10% of base bonus) - puts a graduate mine eng on around $160k - experienced eng on ~$200k Benefits (Paid Parental Leave, basic share match program after 3 years) Annual Leave - 3 swings for FIFO employees",positive,Recognition
77,Canada,2025-01,Fun projects in tough environments,positive,Belonging
78,Singapore,2025-01,"Depending on department, culture and colleagues are fine.",positive,Belonging
79,Australia,2024-12,Pretty good benefit and great support,positive,Belonging
80,American,2024-12,"Support, flexibility, great teams, pay, learning experiences",positive,Collaboration
81,Canada,2024-12,Culture is shifting with focus on people,positive,Belonging
82,Singapore,2024-12,Good work life balance and benefits,positive,Belonging
83,American,2024-12,"Pay, benefits, super easy work.",positive,Recognition
84,American,2024-11,Share plan and health insurance,positive,Inclusion
85,American,2024-12,Gain share from each salary,positive,Collaboration
86,Singapore,2024-12,"Excellent worklife benefits with competitive compensation,",positive,Belonging
87,Canada,2024-12,A Great employer and environment,positive,Belonging
88,Canada,2024-11,Good pay and good benefits,positive,Recognition
89,American,2024-11,"Good benefits, good people, strong purpose and commitment to social contribution",positive,Belonging
90,Canada,2024-11,Very responsible company Good enviroment Beautiful office,positive,Belonging
91,American,2024-11,There is not much pro,negative,Belonging
92,American,2024-11,Good easy clean work slack job,positive,Collaboration
93,Australia,2024-11,- Great Company Culture - Great Pay - Great Benefits,positive,Recognition
94,American,2024-10,good work ethics and work life balance,positive,Collaboration
95,Singapore,2024-11,Good benefits. Some genuine people/leaders (depends on team).,positive,Belonging|Collaboration
96,Australia,2024-10,Paid health insurance Shares scheme buy 1 and get 1 for free Annual bonus,positive,Recognition
97,Canada,2024-10,"Great Benefits, good pay and takes care of its people. The type of company to stay for years. Can move to different roles",positive,Belonging|Inclusion
98,United Kingdom,2024-10,Big company with lots of scope for mobility,positive,Inclusion
99,Canada,2024-10,"Rio Tinto is making significant strides in delivering on its core values, particularly in fostering a culture of everyday respect. The company is home to a wealth of industry knowledge, with a team of highly experienced professionals in the mining sector. It's an excellent environment for growth and development, where individuals can thrive and advance their careers.",positive,Inclusion|Belonging
100,Canada,2024-10,"Pay, Work life balance, great people",positive,Recognition
101,Australia,2024-10,"Good pay. Good work, camps okay, company very helpful",positive,Belonging
102,Canada,2024-10,Good pay and culture is friendly,positive,Belonging
103,Australia,2024-10,Good work environment and Flexible,positive,Collaboration
104,Canada,2024-10,"Stock options, family health benefits",positive,Recognition
105,American,2024-10,"- Great team and team culture - Full health cover package including extras - Very dedicated, skilled, and knowledgeable people to work with. - Lockers for storage",positive,Collaboration|Inclusion
106,American,2024-10,"Good salary, helpful environment, process driven",positive,Belonging
107,Singapore,2024-10,Excellent company culture with good work life balance,positive,Belonging
108,American,2024-09,Some nice folks working at Rio and some not so nice,positive,Belonging
109,Singapore,2024-10,good salary good industry smart people,positive,Collaboration
110,Canada,2024-09,Very good work life balance Salary,positive,Recognition
111,Australia,2024-10,Great colleagues and working environment. WFH flexibility and good benefits,positive,Belonging|Collaboration
112,Australia,2024-09,There was Mostly good people,positive,Belonging
113,Singapore,2024-09,Good insurance Decent Pay Work-life Balance,positive,Recognition
114,American,2024-09,Options for Development are wide,positive,Collaboration
115,American,2024-10,The only good thing are the people working at the ground level and getting a redundancy payout if your lucky!,positive,Collaboration
116,American,2024-09,Benefits and colleagues are amazing,positive,Belonging
117,American,2024-09,"Great flexibility work arrangement, good share scheme, health care",positive,Collaboration
118,Australia,2024-09,Strong culture of safety and performance,positive,Respect
119,Canada,2024-09,Perfect office and professionnal team,positive,Collaboration
120,Canada,2024-09,"Great Benefits - insurance, salary, bonuses Training opportunities Credibility of the company",positive,Recognition
121,American,2024-09,"Supportive, great culture, good opportunities and interesting work",positive,Belonging
122,American,2024-09,Big company. Opportunities to learn about several processes. Good payment.,positive,Belonging|Collaboration
123,American,2024-09,Good teammates at ground floor Reasonable pay but lower than the other iron ore miners,negative,Recognition
124,American,2024-09,"Great Benefits, strong values mindset",positive,Belonging
125,Canada,2024-09,Overall Team work and environment,positive,Collaboration
126,American,2024-09,"plenty of perks, and a significant emphasis on upskilling in areas that you want and not what the company wants.",positive,Recognition
127,American,2024-09,"Enjoyed my time, lots of work but interesting work.",positive,Belonging
128,Canada,2024-09,Lot of advantages and very diverse company,positive,Diversity
129,Australia,2024-08,Na na na na na,positive,Collaboration
130,American,2024-09,"Great place to work, good package",positive,Belonging
131,Canada,2024-08,"Good people, salary and some travel",positive,Recognition
132,Canada,2024-08,"People are nice, genuine and hard workers. Personal life/work balance could be better for permanent employees but it's actually quite nice compared to other big companies, people are comprehensive.",positive,Belonging
133,American,2024-08,Great leadership Great stability Good pay,positive,Belonging
134,American,2024-08,Global organisation with good values. Long serving employees. Caring and considerate managers. Very flexible with working from home.,positive,Collaboration|Belonging|Inclusion
135,American,2024-08,great company to work for with growth opportunities,positive,Belonging
136,Australia,2024-08,"Good pay, good benefits, great career opportunities",positive,Recognition
137,Australia,2024-08,"Good People, and enjoyable culture",positive,Belonging
138,Singapore,2024-08,"Good company values, many initiatives to draw awareness to mental health",positive,Inclusion
139,American,2024-08,Salary is good and flexible working,positive,Recognition
140,Singapore,2024-07,Great benefits if compare to other company in Singapore,positive,Recognition
141,Australia,2024-08,Large organisation with mature systems and good understanding of what works well.,positive,Collaboration
142,Canada,2024-07,Very good values of care for employées,positive,Belonging
143,Australia,2024-07,Good working culture. Supportive leaders.,positive,Collaboration|Belonging
144,Canada,2024-07,- great benefits - corporate life - nice office space and location - knowledgeable colleagues - interesting industry,positive,Belonging
145,American,2024-07,Great medical and taken our of pre-tax salary,positive,Recognition
146,American,2024-07,"If you like a large company where you can just sink into the background, do nothing until they make you redundant, this is the place",positive,Leadership
147,Canada,2024-07,"Good benefits, training opportunities and renumeration",positive,Recognition
148,American,2024-07,"good company, good culture，very well flexibility to suit all life need.",positive,Collaboration
149,American,2024-07,There is a great team environment.,positive,Collaboration
150,Australia,2024-08,"Excellent work culture, strong safety management, interesting mix of projects.",positive,Belonging
151,American,2024-08,Good company with lots of people,positive,Collaboration
152,Singapore,2024-08,Good culture on the shop floor,positive,Collaboration
153,American,2024-07,Benefits and roster type. Good residential if you get it,positive,Belonging|Recognition
154,Australia,2024-06,Competitive private health insurance available to all employees. Regular pay adjustment according to inflation rate.,positive,Inclusion|Recognition
155,Singapore,2024-06,"Family friendly culture, flexible and great benefits",positive,Belonging
156,American,2024-07,Medical insurance Share matching &amp; working with other advisors,positive,Inclusion
157,American,2024-07,Supportive and well-being focus management who have your back. Smart and engaged team that are solutions focused. No micromanagement.,positive,Belonging|Collaboration
158,Singapore,2024-07,"Good benefit, flexibility, work life balance",positive,Belonging
159,American,2024-06,Career Development is incredible... what you put in you get out,positive,Recognition
160,Singapore,2024-07,Great if you are a foreigner and want to use Singapore as a stepping stone to other countries,positive,Inclusion
161,American,2024-06,"the work is extremely varied, super family friendly team and roster. 2 days a week wfh",positive,Belonging|Respect
162,Singapore,2024-06,-comprehensive insurance coverage for employee and spouse - mental health priority - window to climb up the ladder when internal opening available,positive,Inclusion
163,American,2024-06,"High pay, good benefits to working in company, easy job",positive,Recognition
164,Australia,2024-06,Great company with different pathways. Good opportunities and possibility to speak up.,positive,Belonging|Inclusion
165,American,2024-06,"Benefits, salary and flexible work",positive,Recognition
166,American,2024-06,"Great benefits, allowances, culture, budget and discounts",positive,Belonging
167,American,2024-06,"Good Woking environment, office facilities are great",positive,Collaboration
168,Australia,2024-06,Salary and benefits and car park,positive,Recognition
169,Canada,2024-06,work life balance is great,positive,Collaboration
170,Australia,2024-06,Benefits other than salary are good,positive,Inclusion
171,Canada,2024-06,Good health insurance Paid leave,positive,Inclusion
172,United Kingdom,2024-06,Good atmosphere and friendly coworkers,positive,Belonging
173,Canada,2024-06,"Time off, work life balance , benefits",positive,Recognition
174,American,2024-05,Growth opportunities. Good work culture.,positive,Innovation|Collaboration
175,American,2024-05,"Flexibility, Treating people as people rather than a number given the large scale organisation, good salary, excellent benefits, good direct leaders",positive,Belonging
176,Australia,2024-05,Remuneration is very good in comparison to elsewhere,positive,Recognition
177,United Kingdom,2024-05,"Culture, salary, propects are good",positive,Recognition
178,Australia,2024-05,"Great team and culture, mostly workable people",positive,Collaboration
179,United Kingdom,2024-05,Expose to large project with the best mine operator,positive,Collaboration
180,American,2024-06,Value preposition from the company,positive,Inclusion
181,American,2024-05,Good work mates jn my team,positive,Collaboration
182,Australia,2024-05,Work is plentiful and there is lots of opportunity to improve the business. People are generally helpful and willing to try things,positive,Collaboration|Belonging
183,American,2024-05,good place to work with,positive,Collaboration
184,American,2024-05,"Good work/life balance. Competitive remuneration, lots of different departments to pursue interests.",positive,Collaboration|Recognition
185,Canada,2024-05,Good pay. Great benifits. Yearly vacation 30 days,positive,Belonging|Inclusion
186,Singapore,2024-05,Best in benefits. Great remuneration,positive,Belonging
187,Australia,2024-05,"Better work-life balance, Good remuneration",positive,Recognition
188,American,2024-04,being at home every night,positive,Collaboration
189,American,2024-04,"Salary, Benefits, Work Life balance",positive,Recognition
190,American,2024-04,"Reliable and stable employment, good workplace culture",positive,Belonging
191,Canada,2024-04,A promising career growth path,positive,Belonging
192,American,2024-04,"Development, Opportunity, Decent Pay and remuneration, good roster",positive,Recognition
193,Australia,2024-04,- great pay and benefits - opportunities for development - growing software engineering team - beginning transformation journey to align software engineering,positive,Belonging
194,Australia,2024-04,"Great place to work, really enjoyed the team members",positive,Belonging
195,Singapore,2024-04,"There are plenty of initiatives and programs invested in the well-being, both physical and mental, of the employees",positive,Belonging
196,American,2024-04,good pay good people interesting work,positive,Recognition
197,United Kingdom,2024-03,"- Great culture and people, strong leadership team - Good pay and benefits - Good work / life balance - Interesting work",positive,Collaboration
198,Australia,2024-04,good benefits and career progression,positive,Recognition
199,Australia,2024-03,"Very family orientated, good systems",positive,Belonging
200,Australia,2024-03,Work life balance Pay Diversity and Inclusion Management,positive,Inclusion
201,American,2024-03,Feel valued Great perks Opportunities for development Not a toxic environment,positive,Belonging
202,Australia,2024-03,If your keen to develop yourself its the company for you.,positive,Innovation
203,American,2024-03,Good culture and company. Not focused on being the highest-paying miner.,positive,Belonging|Inclusion
204,Canada,2024-03,Great company with good prospect. Opportuntiy to widen scope and expertise,positive,Belonging|Diversity
205,Australia,2024-03,Good pay and good roster,positive,Belonging
206,American,2024-03,People and work-life balance are great,positive,Belonging
207,American,2024-03,They have a great work culture.,positive,Collaboration
208,American,2024-03,Stock options being matched by employer,positive,Inclusion
209,American,2024-03,"Share program, leave entitlements, opportunity for growth in career",positive,Collaboration
210,American,2024-03,Good perks to the job. Fantastic parental leave.,positive,Belonging|Inclusion
211,American,2024-02,"Proven Company over time, great roster",positive,Belonging
212,American,2024-02,"Salary, culture and people were great",positive,Belonging
213,American,2024-03,Good money and good working conditions - very flexible,positive,Recognition
214,Australia,2024-02,Additional FIFO allowances on top of base pay. 8/6 roster,positive,Inclusion|Belonging
215,American,2024-02,"Private health, and being paid each month",positive,Recognition
216,Australia,2024-02,Comparably corporate to other corporations,negative,Recognition
217,American,2024-02,Good company lots of extras like health insurance,positive,Inclusion
218,American,2024-02,"Good benefits Large company Very structured processes (systems don't always support these and not always executed well, however they is a strong focus on continuous improvement)",positive,Belonging
219,Australia,2024-02,Great culture Good office facilities Health subsidy and overall good allowance suite,positive,Belonging
220,American,2024-03,Higher Management are very approchable.,positive,Belonging
221,Singapore,2024-02,"Good benefits, great people, decent work-life balance.",positive,Belonging
222,American,2024-02,Heaps of opportunity to learn Good tech stack,positive,Inclusion
223,American,2024-02,Excellent team culture. Good support and package to employees,positive,Collaboration|Belonging
224,Australia,2024-02,Good company work culture and people culture,positive,Belonging
225,American,2024-02,Great benefits with health care. Work culture is awesome.,positive,Belonging|Collaboration
226,American,2024-02,happy good environment and people are nice,positive,Belonging
227,Canada,2024-02,Amazing people and great culture,positive,Belonging
228,Australia,2024-02,Large company with access to a big IT budget with lots of cool technology and systems,positive,Inclusion
229,United Kingdom,2024-02,Opportunity for those who excel and make things happen Flexible work approach Pay is quite good compared to peers,positive,Recognition
230,Canada,2024-02,"Industry leader in innovation, very broad experiences, can have a lifetime of different career opportunities in one company (geology, planning, business, strategy). Also amazing benefits",positive,Inclusion|Belonging
231,United Kingdom,2024-01,Open-minded and very supportive colleagues ; healthy culture where you feel supported and heard,positive,Belonging
232,American,2024-02,Supportive company. Good salary and benefits. Healthcare.,positive,Collaboration|Belonging|Inclusion
233,American,2024-01,"The best workplace culture. Values Care, Curiosity and Courage. Prioritezes Safety firts.",positive,Belonging|Respect
234,American,2024-02,Global organization with potential to travel,positive,Inclusion
235,American,2024-01,the basic benefit is better than other industries,positive,Inclusion
236,American,2024-01,Teams bonding over shared trauma Some incredible people (who will never get a seat at the table because they outshine those who are at it),positive,Collaboration
237,Australia,2024-01,"Good culture, well supported by management and good systems.",positive,Belonging
238,Australia,2024-01,If you enjoy are culture of brushing it under the carpet,negative,Respect
239,American,2024-01,"Great company to work for, lots of benefits and good team",positive,Collaboration
240,American,2024-01,good salary overall good pack,positive,Belonging
241,United Kingdom,2024-01,Workplace is quite good and work culture,positive,Collaboration
242,American,2024-01,"Great benefits, including parental leave, pay, bonuses, flexible working for office workers and good learning opportunities.",positive,Belonging
243,Singapore,2024-01,"Good medical insurance benefits, can have work-life balance depending on team",positive,Collaboration
244,United Kingdom,2024-01,Progression and complex transaction learning,positive,Collaboration
245,American,2023-12,"Good pay and benefits, matching shares scheme, feee access to GP, generous Annual Leaves",positive,Recognition
246,Canada,2024-01,"a lot of facilities, capacity",positive,Collaboration
247,American,2024-01,Culture shift is really starting to happen. A lot of the 'old fashioned' way of doing things is getting pushed out the door.,negative,Belonging
248,Australia,2023-12,"Nice co-workers, disciplined environment, good experience",positive,Belonging
249,American,2023-12,"Decent paid, strong safety, great culture",positive,Respect
250,Singapore,2024-01,"Interesting business Positive work culture, salary",positive,Recognition
251,Australia,2024-01,Good team culture if you have the right boss,positive,Collaboration
252,American,2023-12,Opportunities to develop a wide range of skills,positive,Innovation
253,Canada,2023-12,"Very interesting field, colleagues, benefits",positive,Recognition
254,American,2023-12,"Diversity, and a range of opportunities",positive,Diversity
255,Australia,2023-12,Has great benefits and opportunities to grow your career,positive,Belonging
256,American,2023-12,"Respectful culture, good remuneration package",positive,Recognition
257,United Kingdom,2023-12,"Travelling, flexibility, proper corporate culture",positive,Collaboration
258,American,2023-11,Good pay Good benefits Reputay,positive,Recognition
259,Canada,2023-12,"No stress environment. Very comfortable environment, people are nice.",positive,Collaboration|Belonging
260,Canada,2023-11,Best company I have ever worked for. They treat you with respect in all aspects of your work and ensure you are well supported in all endeavours.,positive,Belonging
261,American,2023-11,Good benefits Flexible working hours Healthy working environment,positive,Collaboration
262,American,2023-11,Big company look after employees,positive,Inclusion
263,Canada,2023-10,"Big brand, good for your CV (but you will want to stay anyway), socially responsible",positive,Inclusion
264,American,2023-11,Flexibility to try different things,positive,Innovation
265,Australia,2023-11,Good benefits/perks Good roster for young family,positive,Belonging
266,Singapore,2023-11,Good work life balance Great culture,positive,Belonging
267,American,2023-11,"Great pay, stock options and free health insurance by Medibank",positive,Recognition
268,Singapore,2023-11,Health benefits and insurance coverage,positive,Inclusion
269,American,2023-11,Very good respect and care shown to employees,positive,Belonging
270,American,2023-11,Big company with lateral movement opportunities. Decent benefits,positive,Belonging
271,Canada,2023-10,Good people Good benefits Flexibility,positive,Belonging
272,Australia,2023-11,"Great leave policies and benefits Good opportunities to gain experience, exposure and act in higher roles",positive,Belonging
273,Australia,2023-09,Excellent employer with strong systems for renumeration and benefits,positive,Belonging
274,American,2023-10,"Pays well, great team mates, flexible work",positive,Collaboration
275,Singapore,2023-09,"Great culture- open and collaborative, encourages learning",positive,Collaboration
276,Australia,2023-10,"Safety focus, friendly work environment",positive,Respect
277,American,2023-10,Exposure to mining industry Large team to learn from,positive,Collaboration
278,Canada,2023-10,"pay, work life balance, bonuses, stocks,",positive,Recognition
279,Australia,2023-09,Might be lucky with training,positive,Inclusion
280,American,2023-09,"salary was ok, offices were nice",positive,Belonging
281,Australia,2023-09,"Pay and benefits, no pressure to perform",positive,Recognition
282,American,2023-09,Good benefits and operational teams.,positive,Collaboration
283,Singapore,2023-09,"Great office location, medical benefits",positive,Inclusion
284,Canada,2023-09,Relaxed work environment flexible work hours,positive,Inclusion
285,Singapore,2023-09,"Downtown Chicago great location, beautiful office space with unbearable views. Very international and diverse colleagues, great atmosphere overall. Colleagues are super friendly, helpful and collaborative. Opportunities to work in different product groups and roles. Company encourages international transfers and expand experiences.",positive,Inclusion|Belonging|Collaboration|Diversity
286,Canada,2023-09,Benefits and salary seem to be really good. Nice office although still working hybrid. Office managers try to make the place as nice as possible. Very multicultural place where people seem to enjoy working with one another. Some teams are really great with awesome culture. We enjoy the great perks of technology (guys it is worst outside) and if you have a great leader they shield you from a lot of the politics that kills your soul.,positive,Belonging|Collaboration
287,American,2023-09,Good team members and hard workers,positive,Collaboration
288,American,2023-09,Culture. Share scheme. Opportunities. Global presence,positive,Belonging|Collaboration
289,American,2023-09,Nice plaxe to work ar,positive,Respect
290,Canada,2023-08,Good entreprise culture and good values,positive,Belonging
291,American,2023-08,Good camaraderie at lower management levels. Cut throat at higher and no sense of team work,negative,Collaboration|Leadership
292,Australia,2023-08,"Great company, nice people, seem to genuinelty care for employees.",positive,Belonging
293,Australia,2023-08,"Ok renumeration, nice offices, comfortable chairs",positive,Belonging
294,American,2023-08,Good work life balance and benefits,positive,Belonging
295,American,2023-08,- Allowance for medical - Amazing ground workers - Freedom to move within the company,positive,Belonging
296,American,2023-07,"Good company, smart people, friendly colleagues.",positive,Belonging
297,American,2023-07,Great culture and team Many opportunity to upskill both technical and non technical,positive,Collaboration
298,American,2023-08,Great values Good employment conditions Great career options International company,positive,Belonging
299,American,2023-07,Supportive Culture Flexible Encouraging Opportunity Growth,positive,Inclusion
300,American,2023-07,"Great CEO Good salary Good benefits (parking, health insurance) Training and travel opportunities",positive,Recognition
301,American,2023-07,big company where you can go do a lot of things that you want,positive,Belonging
302,American,2023-07,The pay is just barely acceptable for the workload and work environment,negative,Respect
303,Canada,2023-07,a\ Good benefits b\ Interesting industry c\ Global organization with opportunities to work around the world in diverse roles and grow a career,positive,Collaboration
304,Canada,2023-07,Good exposure to mining industry,positive,Inclusion
305,American,2023-07,Great place to work at.,positive,Belonging
306,American,2023-07,Nothing to complain about with rio,positive,Inclusion
307,American,2023-07,Good employee benefit such as health care.,positive,Belonging
308,Singapore,2023-07,Great benefits and good culture. OT is not the norm in my division,positive,Belonging|Respect
309,Australia,2023-07,"I'm lucky enough to be in an innovative team where work-life balance is appreciated and reminded on a daily basis. Great leaders to work for, great listeners, interesting projects. As a DE, I get to have hands-on experience with different frameworks (AWS, Databricks, Azure DevOps, etc.)",positive,Belonging|Inclusion
310,Australia,2023-07,"Great benefits, various career pathways and opportunities",positive,Belonging
311,Australia,2023-07,Good company in general. Leading in the mining industry.,positive,Belonging
312,American,2023-07,Fun have fun nice day and enjoy,positive,Belonging
313,Singapore,2023-06,Good benefits and good work life balance,positive,Belonging
314,American,2023-07,"Good corporate values and benefits, team mates genuinely friendly and supportive.",positive,Belonging
315,United Kingdom,2023-06,"Plenty of opportunities if you are willing to relocate Global company, interesting large scale projects",positive,Inclusion
316,Australia,2023-07,Great place to work with flxible work arrangements,positive,Collaboration
317,South Africa,2023-06,Flexible hours Job security Competitive remuneration,positive,Recognition
318,American,2023-06,Being home every night is a plus,positive,Belonging
319,American,2023-06,Roster and food would be the only positives,positive,Belonging
320,American,2023-06,"good pay and workplace, nice coworkers.",positive,Belonging
321,American,2023-06,Creative ways to bring value to the business,positive,Innovation
322,Singapore,2023-06,"Good pay, good culture and benefits.",positive,Recognition
323,American,2023-06,Some sites have great culture,positive,Collaboration
324,American,2023-06,Great benefit and compensation scheme,positive,Belonging
325,Canada,2023-06,Good People and plenty of room for growth,positive,Belonging
326,United Kingdom,2023-06,"Great in terms of pay, office setup and future business outlook.",positive,Belonging
327,American,2023-06,"pay good, team good, nice ++",positive,Collaboration
328,Australia,2023-06,Good health insurance incentives available,positive,Inclusion
329,Singapore,2023-05,Great benefits and supportive culture,positive,Belonging
330,American,2023-06,Health care subsidy Generous parental leave Work from home 2 days per week,positive,Inclusion
331,American,2023-05,Provide a with a broad range of vertical as well as horizontal career development opportunities.,positive,Diversity
332,Australia,2023-05,Flexible work environment low pressure,positive,Collaboration
333,Australia,2023-05,"Recruitment process was smooth, efficient, and I think effective at evaluating the right candidate.",positive,Belonging
334,Canada,2023-05,comfortable.nice.never scared to ask question.,positive,Belonging
335,American,2023-05,Good Pay and flexible work,positive,Recognition
336,United Kingdom,2023-05,Good work Perks Travel Benefits,positive,Recognition
337,Singapore,2023-06,Salary payout and company welfare/benefits are good,positive,Recognition
338,Canada,2023-05,Employment opportunities and flexibility to move positions,positive,Diversity
339,Australia,2023-05,- Real efforts to improve culture - People,positive,Belonging
340,Canada,2023-04,"The work environment is one of the best I've ever had, everybody is always looking out for one and other.",positive,Collaboration
341,Australia,2023-04,Money was reasonable at start but didn’t increase with experience,negative,Recognition
342,American,2023-04,Good people to work with,positive,Collaboration
343,Australia,2023-04,"Flexibility to work, looks after family",positive,Inclusion
344,American,2023-04,Pay Bonuses and Perks (such as paid health insurance) WFH flexibility,positive,Recognition
345,Australia,2023-04,Lots of free coffee and food Flexible work Chill friendly environment Great office space with balconies and bbqs,positive,Belonging
346,Australia,2023-04,Good work culture and safety comes first,positive,Respect
347,American,2023-04,well resourced/large team good support well established processes and controls good pay,positive,Collaboration
348,Australia,2023-04,traveling organisation and teambuilding and networking,positive,Collaboration
349,American,2023-04,Equal opportunity workplace strong policy,positive,Inclusion
350,Canada,2023-03,-Benefits -Salary -Culture -Modern office -Located in Downtown Montreal,positive,Recognition
351,American,2023-03,"Good benefits, secure, room to grow",positive,Recognition
352,American,2023-03,Contracting feels like permanent staff Great team culture,positive,Collaboration
353,American,2023-03,"Good vibe, relaxed, friendly environment",positive,Belonging
